VIH.DE,VIB Vermoegen AG
H4I.DE,HAHN-Immobilien-Beteiligungs AG
BNPH.DE,BNP Paribas SA
EDG.DE,Gold Fields Ltd.
H9O1.DE,HumanOptics AG
E0P.DE,Enphase Energy, Inc.
VODI.DE,Vodafone Group Plc
QYM.DE,Chemical & Mining Co. of Chile Inc.
CHV.DE,Chevron Corporation
0YYA.DE,YY Inc.
CMUA.DE,China Ming Yang Wind Power Group Limited
OSR.DE,OSRAM Licht AG
SPR.DE,Axel Springer SE
S92.DE,SMA Solar Technology AG
VC8.DE,VanCamel AG
FKE.DE,Feike AG
CVLA.DE,Vale S.A.
HXCI.DE,HCI Capital AG
KCO.DE,Kl?ckner & Co SE
LHA.DE,Deutsche Lufthansa Aktiengesellschaft
SII.DE,Silver Wheaton Corp.
MAK.DE,Maternus-Kliniken AG
VNX.DE,NXP Semiconductors NV
OUTA.DE,Outokumpu Oyj
SIE.DE,Siemens Aktiengesellschaft
PA9.DE,The Travelers Companies, Inc.
DLG.DE,Dialog Semiconductor Plc
LNSX.DE,Sixt Leasing AG
KSW.DE,KST Beteiligungs AG
IDP.DE,Biogen Inc.
GFT.DE,GFT Technologies AG
VWA.DE,VSG Vange Software Group AG
CMC.DE,JPMorgan Chase & Co.
FRU.DE,Ferratum Oyj
WFM.DE,Whole Foods Market, Inc.
MRK.DE,Merck KGaA
SAG.DE,SAG Solarstrom AG
NSU.DE,AUDI AG
LIN.DE,Linde Aktiengesellschaft
PA8.DE,Paion AG
SND.DE,Schneider Electric SE
EOAN.DE,E.ON SE
GFK.DE,GfK SE
HEI.DE,HeidelbergCement AG
FAA.DE,Fabasoft AG
TFA.DE,Tomorrow Focus AG
W8V.DE,Bank of China Limited
ZY3.DE,Zynga, Inc.
ZCHA.DE,China Telecom Corp. Ltd.
RNL.DE,Renault SA
BY6A.DE,BYD Company Ltd.
NWT.DE,Wells Fargo & Company
UNH.DE,UnitedHealth Group Incorporated
A1G.DE,American Airlines Group Inc.
ENI1.DE,Eni SpA
PRA.DE,Praktiker AG
XCA.DE,Credit Agricole S.A.
FJZ.DE,Zijin Mining Group Co. Ltd.
WDI.DE,Wirecard AG
SSUN.DE,Samsung Electronics Co. Ltd.
WUW.DE,W?stenrot & W?rttembergische AG
EMP.DE,EMC Corporation
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft
SYV.DE,3D Systems Corporation
TOMA.DE,Toyota Motor Corporation
GZF.DE,ENGIE SA
BAS.DE,BASF SE
ALVA.DE,Allianz SE
BYW6.DE,BayWa AG
DCO.DE,Deere & Company
ADV.DE,ADVA Optical Networking SE
DB1.DE,Deutsche Boerse AG
VOW4.DE,Volkswagen AG4
IFX.DE,Infineon Technologies AG
TPN.DE,Triplan AG
HBH3.DE,Hornbach Holding AG & Co. KGaA
CEV.DE,CENTROTEC Sustainable AG
PUM.DE,PUMA SE
KGX.DE,KION GROUP AG
WHR.DE,Whirlpool Corp.
DEQ.DE,Deutsche Euroshop AG
LEI.DE,Leifheit AG
M9R.DE,Canada Zinc Metals Corp.
NNND.DE,Tencent Holdings Limited
VBHK.DE,VBH Holding AG
STO3.DE,Sto SE & Co. KGaA
HNA.DE,Monster Beverage Corporation
R1T.DE,Realtime Technology AG
IKH.DE,StarDSL AG
Y9L.DE,Yelp Inc.
SVE.DE,Shareholder Value Beteiligungen AG
YDX.DE,Yandex N.V.
COM.DE,comdirect bank AG
FW1.DE,MIFA Mitteldeutsche Fahrradwerke AG
ZEF.DE,Zhongde Waste Technology Ag
SAX.DE,Str?¶er SE
VOW.DE,Volkswagen AG
FVIN.DE,FAIR VALUE REIT
TEG.DE,TAG Immobilien AG.
TPE.DE,PVATePla AG
YZCA.DE,Yanzhou Coal Mining Co. Ltd.
GXI.DE,Gerresheimer AG
RHK1.DE,RHOEN KLINIKUM
DIS.DE,Diskus Werke Ag
FZM.DE,ZTE Corp.
BIW.DE,KWG Kommunale Wohnen AG
MU4.DE,M4e AG
RKET.DE,Rocket Internet SE
DTE.DE,Deutsche Telekom AG
KYM1.DE,JSC VTB Bank
K1IA.DE,Integra Gold Corp.
TATB.DE,Tata Motors Limited
G6P.DE,Going Public Media AG
VOS.DE,Vossloh AG
OPC.DE,Occidental Petroleum Corporation
TIM.DE,ZEAL Network SE
6OL.DE,AOL Inc.
FTE.DE,Orange
F3A.DE,First Solar, Inc.
R6C2.DE,Royal Dutch Shell plc
SGE1.DE,Societe Generale Group
KN1.DE,EcoUnion AG
O1BC.DE,XING AG
BMW3.DE,Bayerische Motoren Werke Aktiengesellschaft
R6C3.DE,Royal Dutch Shell plc
JIX.DE,Jiangxi Copper Company Limited
BASA.DE,BASF SE
SIS.DE,First Sensor AG
TEV.DE,Teva Pharmaceutical Industries Limited
USE.DE,Beate Uhse AG
UMD.DE,UMT UN MOB TECH
ERCA.DE,Ericsson
TOTB.DE,TOTAL S.A.
FIE.DE,Fielmann Aktiengesellschaft
ZVL.DE,Zhaojin Mining Industry Co. Ltd.
TQIA.DE,Telecom Italia S.p.A.
YG11.DE,Yingli Green Energy Holding Co. Ltd.
NC2A.DE,CNOOC Ltd.
NFC.DE,Netflix, Inc.
RY4B.DE,Ryanair Holdings plc
KWG.DE,KHD Humboldt Wedag International AG
MBB.DE,MBB SE
1R8.DE,Radius Health, Inc.
WGF1.DE,Williams Grand Prix Holdings PLC
JUN3.DE,Jungheinrich AG
EVK.DE,Evonik Industries AG
FRE.DE,Fresenius SE & Co KGaA
QCI.DE,QUALCOMM Incorporated
COP.DE,CompuGroup Medical AG
GRU.DE,Geely Automobile Holdings Ltd.
NESR.DE,Nestl? S.A.
GMM.DE,Grammer AG
VWSA.DE,Vestas Wind Systems A/S
TTI.DE,Tom Tailor Holding AG
PCE1.DE,The Priceline Group Inc.
T5O.DE,CytoTools AG
XAE1.DE,Catalis SE
DRW3.DE,Dragerwerk AG & Co. KGaA
BRH.DE,Berkshire Hathaway Inc.
YZC.DE,Yanzhou Coal Mining Co. Ltd.
02P.DE,Pearl Gold AG
YSN.DE,Secunet Security Networks AG
MEO.DE,METRO AG
SMWN.DE,SM Wirtschaftsberatungs AG
CON.DE,Continental Aktiengesellschaft
ZFI1.DE,Zurich Insurance Group AG
NGLB.DE,Anglo American plc
ZM5.DE,CMC Metals Ltd.
EDL.DE,Edel AG
GLJ.DE,GrenkeLeasing AG
ARL.DE,Aareal Bank AG
RWE.DE,RWE AG
MOH.DE,LVMH Mo?t Hennessy Louis Vuitton SA
CLF.DE,China Life Insurance Co. Ltd.
AV7.DE,AVW Immobilien AG
ZO1.DE,zooplus AG
CXGH.DE,Xinjiang GoldWind Science & Technology Co., Ltd.
V1RA.DE,Vena Resources Inc.
PFV.DE,Pfeiffer Vacuum Technology AG
YCP.DE,ConocoPhillips
S4K.DE,SHF Communication Technologies AG
MOR.DE,Morphosys AG
OSP2.DE,USU Software AG
T6UN.DE,Equitas Resources Corp.
P1Z.DE,Patrizia Immobilien AG
LHAB.DE,Deutsche Lufthansa Aktiengesellschaft
QB7.DE,Quirin Bank AG
VG8.DE,Varengold Bank AG
SON1.DE,Sony Corporation
EUZ.DE,Eckert & Ziegler Strahlen & Medizintechnik AG
K1R.DE,KROMI Logistik AG
YOC.DE,YOC AG
PEH.DE,PEH Wertpapier AG
WCMK.DE,WCM Beteiligungs- und Grundbesitz-AG
RAW.DE,Raiffeisen Bank International AG
TR61.DE,TMM Real Estate Development Plc
AXP.DE,Alexion Pharmaceuticals, Inc.
GOS.DE,The Goldman Sachs Group, Inc.
CXU.DE,Church & Dwight Co. Inc.
GGQ1.DE,Google Inc.
TGR.DE,Yum! Brands, Inc.
ABEA.DE,Alphabet Inc.
ZEG.DE,AstraZeneca PLC
KA8.DE,Klassik Radio AG
HLAG.DE,Hapag-Lloyd AG
WFT.DE,Weng Fine Art AG
XONA.DE,Exxon Mobil Corporation
SFD1.DE,Softline AG
ABJA.DE,ABB Ltd.
SWN.DE,Southwest Airlines Co.
GM2.DE,Keurig Green Mountain, Inc.
CCC3.DE,The Coca-Cola Company
LYIA.DE,Lynas Corporation Limited
WEG1.DE,Westgrund Aktiengesellschaft
XAE2.DE,Catalis SE
SWVK.DE,SolarWorld AG
ERT.DE,Electronic Arts Inc.
OHT.DE,Orad Hi Tec Systems Ltd.
ADS.DE,Adidas AG
5M71.DE,Public Joint Stock Company Magnit
ROH.DE,Von Roll Holding AG
ZIL2.DE,ElringKlinger AG
WGN.DE,WALGREEN
PND.DE,Marine Harvest ASA
VWS.DE,Vestas Wind Systems A/S
XNH.DE,Xanthus Holdings Plc
VOW5.DE,Volkswagen AG5
FRA.DE,Fraport AG
QIA.DE,Qiagen NV
KBC.DE,Kontron AG
SCO.DE,Cybits Holding AG
KU2.DE,KUKA Aktiengesellschaft
BLQA.DE,BlackRock, Inc.
SAZ.DE,Stada-Arzneimittel AG
HEN3.DE,Henkel AG & Co. KGaA
LGLG.DE,LG Electronics Inc.
ZJS1.DE,JinkoSolar Holding Co., Ltd.
GLW.DE,Corning Inc.
R6C.DE,Royal Dutch Shell plc
RAA.DE,Rational AG
SBS.DE,STRATEC Biomedical AG
RYS2.DE,The Royal Bank of Scotland Group plc
WIB.DE,Wienerberger AG
RY4C.DE,Ryanair Holdings plc
ARRC.DE,ArcelorMittal
PUS.DE,PULSION Medical Systems SE
RHM.DE,Rheinmetall AG
